Time,Sine Wave,Current (A)
0.0,1.0,50539846594.53971
0.0005,1.0031415874858796,57030850288.15292
0.001,1.0062831439655588,64355438826.474304
0.0015,1.009424638433144,72620566018.75607
0.002,1.0125660398833527,81946884952.91962
0.0025,1.0157073173118207,92470498225.48672
0.003,1.0188484397154085,104344931025.38576
0.0035,1.0219893760925052,117743355326.36111
0.004,1.0251300954433376,132861097006.52959
0.0045,1.0282705667702732,149918461724.05133
0.005,1.0314107590781283,169163919890.8048
0.0055,1.0345506413744725,190877696163.55237
0.006,1.0376901826699343,215375814584.63202
0.0065,1.04082935197851,243014656930.72595
0.007,1.0439681183178648,274196099056.6253
0.0075,1.0471064507096426,309373298151.46204
0.008,1.0502443181797696,349057212968.11017
0.0085,1.0533816897587605,393823949368.5455
0.009,1.0565185344820245,444323035088.9553
0.0095,1.0596548213901706,501286740626.2191
0.01,1.0627905195293137,565540577759.3342
0.0105,1.0659255979513778,638015123643.7555
0.011,1.0690600257144058,719759336877.0422
0.0115,1.0721937718828607,811955552679.42
0.012,1.0753268055279328,915936367645.4663
0.0125,1.078459095727845,1033203650715.4698
0.013,1.0815906115681575,1165449946440.852
0.0135,1.0847213221420735,1314582569673.84
0.014,1.0878511965507431,1482750727937.7983
0.0145,1.09098020390357,1672376049431.9688
0.015,1.0941083133185143,1886186941446.034
0.0155,1.0972354939223994,2127257256532.606
0.016,1.1003617148512148,2399049802807.0215
0.0165,1.1034869452504226,2705465300997.948
0.017,1.10661115427526,3050897465234.4575
0.0175,1.1097343110910454,3440294968011.674
0.018,1.1128563848734818,3879231143421.9766
0.0185,1.1159773448089614,4373982387809.7085
0.019,1.1190971600948698,4931616334878.058
0.0195,1.1222157999398894,5560091014491.583
0.02,1.1253332335643045,6268366352705.655
0.0205,1.1284494302003027,7066529536838.97
0.021,1.1315643590922826,7965935955861.208
0.0215,1.1346779894971526,8979367635390.81
0.022,1.137790290684638,10121211320919.676
0.0225,1.1409012319375826,11407658625489.852
0.023,1.144010782552252,12856930952351.145
0.0235,1.1471189118386371,14489532232886.2
0.024,1.1502255891207571,16328532889521.998
0.0245,1.1533307837369606,18399888847180.52
0.025,1.156434465040231,20732799880313.066
0.0255,1.1595366023984863,23360112101595.695
0.026,1.1626371651948837,26318769979521.918
0.0265,1.1657361228281198,29650323922738.52
0.027,1.168833444712734,33401500197223.195
0.0275,1.1719291002794097,37624840757446.42
0.028,1.175023058975276,42379421484704.81
0.0285,1.1781152902642102,47731658346222.24
0.029,1.1812057636271374,53756212130110.39
0.0295,1.1842944485623337,60537003688035.125
0.03,1.1873813145857246,68168353045199.36
0.0305,1.1904663312311898,76756257333723.4
0.031,1.1935494680508605,86419824290199.22
0.0315,1.1966306946154202,97292880053149.62
0.032,1.1997099805144071,109525772225562.44
0.0325,1.2027872953565124,123287391658863.0
0.033,1.2058626087698814,138767439197873.48
0.0335,1.2089358904024117,156178966735162.5
0.034,1.2120071099220546,175761225395259.12
0.0345,1.215076237017113,197782857546172.4
0.035,1.2181432413965427,222545473664243.16
0.0355,1.2212080927902471,250387659909826.88
0.036,1.2242707609493813,281689467663888.0
0.0365,1.2273312156466465,316877442292415.44
0.037,1.230389426676591,356430255118721.7
0.0375,1.2334453638559055,400885010071566.94
0.038,1.2364989970237248,450844304827982.0
0.0385,1.2395502960419218,506984135581292.94
0.039,1.2425992307954077,570062744945924.4
0.0395,1.2456457711924265,640930524081090.1
0.04,1.2486898871648549,720541093010807.0
0.0405,1.2517315486684972,809963697484439.5
0.041,1.2547707256833822,910397076727627.4
0.0415,1.25780738821406,1023184974259583.0
0.042,1.260841506289897,1149833483802936.8
0.0425,1.263873049965373,1292030444413274.0
0.043,1.2669019893203757,1451667123555452.0
0.0435,1.2699282944604964,1630862454231774.5
0.044,1.272951935517325,1831990122729983.5
0.0445,1.2759728826487458,2057708837446694.5
0.045,1.2789911060392294,2310996146933548.0
0.0455,1.2820065759001291,2595186217225576.5
0.046,1.285019262469976,2914012025108559.5
0.0465,1.288029136014769,3271652475774323.0
0.047,1.291036166828272,3672785010874436.0
0.0475,1.294040325232304,4122644336930127.0
0.048,1.297041581577035,4627087975097751.0
0.0485,1.3000399062412762,5192669412181315.0
0.049,1.303035269632774,5826719720385356.0
0.0495,1.3060276421885009,6537438610544468.0
0.05,1.3090169943749477,7333995991496531.0
0.0505,1.312003296688415,8226645228023472.0
0.051,1.3149865196553048,9226849422639128.0
0.0515,1.317966633832411,1.034742219385918e+16
0.052,1.3209436098072096,1.1602684586978482e+16
0.0525,1.3239174181981497,1.3008639934523924e+16
0.053,1.3268880296549426,1.4583168684318224e+16
0.0535,1.3298554148588528,1.6346245435562328e+16
0.054,1.332819544522987,1.832018066980133e+16
0.0545,1.3357803893925806,2.0529889936619708e+16
0.055,1.3387379202452914,2.3003193556186612e+16
0.0555,1.3416921078914834,2.5771150235388224e+16
0.056,1.3446429231745172,2.886842836466858e+16
0.0565,1.3475903369710371,3.233371917249957e+16
0.057,1.350534320191259,3.621019636777155e+16
0.0575,1.3534748437792572,4.054602740179492e+16
0.058,1.3564118787132506,4.539494203600811e+16
0.0585,1.3593453960058908,5.081686451435906e+16
0.059,1.3622753667045455,5.68786163165997e+16
0.0595,1.365201761891588,6.365469721710752e+16
0.06,1.368124552684678,7.122815320039669e+16
0.0605,1.371043710237051,7.969154069737392e+16
0.061,1.3739592057378005,8.914799761409789e+16
0.0615,1.3768710104121626,9.97124327372115e+16
0.062,1.3797790955218012,1.1151284632754642e+17
0.0625,1.3826834323650898,1.2469179606745405e+17
0.063,1.3855839922773967,1.3940802402072706e+17
0.0635,1.388480746631366,1.5583826191039158e+17
0.064,1.3913736668372023,1.7417923383460525e+17
0.0645,1.394262724342951,1.9464987754073728e+17
0.065,1.3971478906347805,2.17493807581108e+17
0.0655,1.4000291372372646,2.4298204610043197e+17
0.066,1.4029064357136627,2.7141604967694253e+17
0.0665,1.4057797576662,3.03131063580375e+17
0.067,1.4086490747363491,3.384998380465313e+17
0.0675,1.4115143586051089,3.779367447288653e+17
0.068,1.414375580993284,4.219023354038542e+17
0.0685,1.4172327136617653,4.709083893127048e+17
0.069,1.4200857284118062,5.255235002551544e+17
0.0695,1.4229345970853031,5.863792597522179e+17
0.07,1.4257792915650729,6.54177098308494e+17
0.0705,1.4286197837751284,7.296958530794926e+17
0.071,1.431456045680959,8.138001371394848e+17
0.0715,1.4342880492898047,9.074495931062556e+17
0.072,1.4371157666509329,1.0117091221772157e+18
0.0725,1.439939169855915,1.1277601887322396e+18
0.073,1.442758231038901,1.2569133106391447e+18
0.0735,1.4455729223768965,1.4006218563390984e+18
0.074,1.4483832160900325,1.5604972817795244e+18
0.0745,1.451189084441845,1.738325953399259e+18
0.075,1.4539904997395467,1.9360877177574884e+18
0.0755,1.4567874343342997,2.1559763941515336e+18
0.076,1.4595798606214878,2.4004223838103255e+18
0.0765,1.4623677510409916,2.6721176081166976e+18
0.077,1.4651510780774584,2.974043008947745e+18
0.0775,1.4679298142605737,3.3094988667881134e+18
0.078,1.4707039321653326,3.682138216938767e+18
0.0785,1.473473404412312,4.0960036710983675e+18
0.079,1.4762382036679391,4.555567981040287e+18
0.0795,1.478998302644761,5.065778713264935e+18
0.08,1.4817536741017152,5.632107438612352e+18
0.0805,1.484504290844398,6.260603879126655e+18
0.081,1.4872501257253323,6.957955496258966e+18
0.0815,1.4899911516442366,7.731553050072988e+18
0.082,1.4927273415482916,8.589562708803204e+18
0.0825,1.4954586684324076,9.541005342268195e+18
0.083,1.4981851053394908,1.059584369163062e+19
0.0835,1.50090662536071,1.1765078172242483e+19
0.084,1.503623201635761,1.3060852136249537e+19
0.0845,1.5063348073531326,1.4496567497746215e+19
0.085,1.509041415750371,1.6087011706064957e+19
0.0855,1.5117430001143448,1.784849714283266e+19
0.086,1.5144395337815064,1.979901411629868e+19
0.0865,1.517130990138157,2.19583987328165e+19
0.087,1.519817342620709,2.4348517040889287e+19
0.0875,1.5224985647159488,2.6993466968656916e+19
0.088,1.5251746299612954,2.9919799711872197e+19
0.0885,1.5278455119450662,3.315676237719614e+19
0.089,1.530511184306734,3.673656384586929e+19
0.0895,1.5331716207371886,4.069466599661024e+19
0.09,1.5358267949789963,4.507010261487799e+19
0.0905,1.53847668082666,4.990582851965475e+19
0.091,1.5411212521268758,5.5249101659827995e+19
0.0915,1.5437604827787923,6.115190117139983e+19
0.092,1.5463943467342691,6.767138464552962e+19
0.0925,1.5490228179981318,7.487038813727962e+19
0.093,1.55164587062843,8.28179727475902e+19
0.0935,1.554263478736694,9.15900219379991e+19
0.094,1.5568756164881878,1.0126989409093239e+20
0.0945,1.5594822581021668,1.1194913520990672e+20
0.095,1.5620833778521304,1.2372825706570742e+20
0.0955,1.564678950066077,1.3671758653890793e+20
0.096,1.5672689491267564,1.510381923881751e+20
0.0965,1.5698533494719236,1.6682289619029737e+20
0.097,1.5724321255945908,1.842173747543552e+20
0.0975,1.5750052520432785,2.033813619117916e+20
0.098,1.5775727034222675,2.2448995822943643e+20
0.0985,1.5801344543918492,2.4773505788677207e+20
0.099,1.582690479668576,2.7332690270559584e+20
0.0995,1.58524075402551,3.014957741230196e+20
0.1,1.587785252292473,3.3249383476152585e+20
0.1005,1.5903239493562946,3.665971321764659e+20
0.101,1.5928568201610591,4.041077783560925e+20
0.1015,1.5953838397083548,4.453563196169303e+20
0.102,1.5979049830575187,4.907043126820139e+20
0.1025,1.600420225325884,5.4054712395713656e+20
0.103,1.6029295416890248,5.953169703352829e+20
0.1035,1.6054329073810014,6.554862212680606e+20
0.104,1.6079302976946055,7.215709833506087e+20
0.1045,1.6104216879816025,7.941349902794614e+20
0.105,1.6129070536529764,8.737938227680562e+20
0.1055,1.6153863701791713,9.612194848478147e+20
0.106,1.6178596130903342,1.0571453649525347e+21
0.1065,1.620326757976556,1.1623716122859762e+21
0.107,1.6227877804881126,1.2777709612169015e+21
0.1075,1.625242656335705,1.4042950388379406e+21
0.108,1.6276913612907005,1.5429811933762547e+21
0.1085,1.630133871185369,1.6949598838605443e+21
0.109,1.6325701619131243,1.8614626743428598e+21
0.1095,1.6350002094287606,2.0438308790520193e+21
0.11,1.6374239897486895,2.2435249081300358e+21
0.1105,1.6398414789511784,2.4621343670835306e+21
0.111,1.6422526531765844,2.7013889667783165e+21
0.1115,1.644657488627591,2.963170304731565e+21
0.112,1.6470559615694442,3.2495245826186307e+21
0.1125,1.6494480483301834,3.562676329328226e+21
0.113,1.6518337253008788,3.90504320357835e+21
0.1135,1.6542129689358611,4.2792519550591933e+21
0.114,1.6565857557529564,4.6881556283149784e+21
0.1145,1.6589520623337168,5.134852099120649e+21
0.115,1.6613118653236518,5.622704038971654e+21
0.1155,1.6636651414324586,6.155360409496361e+21
0.116,1.6660118674342517,6.736779595133438e+21
0.1165,1.668352020167793,7.371254289310623e+21
0.117,1.67068557653672,8.063438256621531e+21
0.1175,1.673012513509773,8.818375101151109e+21
0.118,1.6753328081210244,9.64152917914975e+21
0.1185,1.6776464374701023,1.0538818802720935e+22
0.119,1.6799533787224192,1.1516651890090537e+22
0.1195,1.6822536091093965,1.2581964227359743e+22
0.12,1.6845471059286887,1.3742260516454253e+22
0.1205,1.6868338465444084,1.500565839424694e+22
0.121,1.6891138083873485,1.6380935618602688e+22
0.1215,1.6913869689552063,1.7877580628350137e+22
0.122,1.693653305812805,1.950584669596356e+22
0.1225,1.6959127965923142,2.127680990404024e+22
0.123,1.6981654189934727,2.3202431189500635e+22
0.1235,1.7004111507838064,2.5295622712819412e+22
0.124,1.7026499697988493,2.7570318823551194e+22
0.1245,1.7048818539423616,3.0041551907926785e+22
0.125,1.7071067811865477,3.2725533419371235e+22
0.1255,1.7093247295722738,3.5639740408487326e+22
0.126,1.7115356772092856,3.88030078852795e+22
0.1265,1.7137396022764213,4.223562736324416e+22
0.127,1.715936483021831,4.5959451952393245e+22
0.1275,1.718126297763189,4.9998008386276446e+22
0.128,1.720309024887907,5.437661638668593e+22
0.1285,1.7224846428533498,5.9122515788913025e+22
0.129,1.7246531301870467,6.426500187014097e+22
0.1295,1.7268144654869029,6.983556934392799e+22
0.13,1.7289686274214118,7.58680655045114e+22
0.1305,1.7311155947298642,8.239885302610618e+22
0.131,1.7332553462225602,8.946698294419455e+22
0.1315,1.735387860781016,9.711437836816335e+22
0.132,1.7375131173581742,1.0538602949747343e+23
0.1325,1.7396310949786098,1.1433020053670523e+23
0.133,1.7417417727387394,1.2399864912841055e+23
0.1335,1.743845129807025,1.3444685894659153e+23
0.134,1.7459411454241822,1.4573428611783833e+23
0.1345,1.7480297989033826,1.579246201614268e+23
0.135,1.7501110696304596,1.7108606016437167e+23
0.1355,1.7521849370641114,1.8529160693191908e+23
0.136,1.754251380736104,2.0061937187862892e+23
0.1365,1.756310380251472,2.171529034497981e+23
0.137,1.758361915288722,2.3498153188730484e+23
0.1375,1.760405965600031,2.542007331781082e+23
0.138,1.762442511011448,2.749125130473978e+23
0.1385,1.7644715314230917,2.9722581188161865e+23
0.139,1.76649300680935,3.2125693148938326e+23
0.1395,1.7685069172190768,3.471299846300367e+23
0.14,1.7705132427757897,3.749773682609186e+23
0.1405,1.7725119636778646,4.049402614741533e+23
0.141,1.774503060198734,4.371691491129379e+23
0.1415,1.7764865126870788,4.718243720744688e+23
0.142,1.7784623015670236,5.090767053228996e+23
0.1425,1.78043040733833,5.4910796464986447e+23
0.143,1.7823908105765884,5.9211164323235e+23
0.1435,1.7843434919334102,6.382935790479952e+23
0.144,1.786288432136619,6.878726542158745e+23
0.1445,1.78822561199044,7.410815273358973e+23
0.145,1.7901550123756904,7.981673999025628e+23
0.1455,1.7920766142499671,8.593928178683212e+23
0.146,1.7939903986478354,9.25036509427819e+23
0.1465,1.7958963466810158,9.953942600868531e+23
0.147,1.797794439538571,1.0707798260688624e+24
0.1475,1.7996846584870907,1.1515258870956757e+24
